N,BIBID,ITEMID,Code barre,D.CREATION,D.MODIF,Cote,Inventaire,Titre,Auteur,Staff-Note,ISBN-A,Item class,Nb Page,Date edition,Editeur,Prix
12735,9866,1575004,'046200014014',11/27/2010,11/27/2010,STA 260 (5),inv. 12563 (1),Exercices corrigés de statistique descriptive,Bernard Py -,inv. 12563 (1),2-7178-2682-3,Monographie prêtable (50),177 p.,1994,Economica,95 F
12736,9866,1576018,'046200014015',11/29/2010,11/29/2010,STA 260 (13),inv. 14691 (6),Exercices corrigés de statistique descriptive,Bernard Py -,inv. 14691 (6),2-7178-2682-3,Monographie prêtable (50),177 p.,1994,Economica,95 F
12737,9866,1576012,'046200014016',11/29/2010,11/29/2010,STA 260 (11),inv. 14691 (4),Exercices corrigés de statistique descriptive,Bernard Py -,inv. 14691 (4),2-7178-2682-3,Monographie prêtable (50),177 p.,1994,Economica,95 F
12738,9866,1576024,'046200014017',11/29/2010,11/29/2010,STA 260 (6),inv. 12563 (2),Exercices corrigés de statistique descriptive,Bernard Py -,inv. 12563 (2),2-7178-2682-3,Monographie prêtable (50),177 p.,1994,Economica,95 F
12739,153107,1576045,'046200014018',11/29/2010,11/29/2010,STA 260 (4),inv. 11472 (4),Exercices corrigés de statistique descriptive,Bernard PY -,inv. 11472 (4),2-7178-1850-2,Monographie prêtable (50),166 p.,1990,Economica,-
12740,155560,1576399,'046200014019',11/29/2010,11/29/2010,STA 261,inv. 12255,Probabilités,Seymour Lipschutz -,inv. 12255,-,Monographie prêtable (50),153 p.,1973,McGraw-Hill,-
12741,9866,1576330,'046200014020',11/29/2010,11/29/2010,STA 260 (8),inv. 14691 (1),Exercices corrigés de statistique descriptive,Bernard Py -,inv. 14691 (1),2-7178-2682-3,Monographie prêtable (50),177 p.,1994,Economica,95 F
12742,1503,1576542,'046200014021',11/29/2010,11/29/2010,STA 278 (40),inv. 12470 (15),Calcul de probabilités,Farouk Kria -,inv. 12470 (15),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12743,1503,1576515,'046200014022',11/29/2010,11/29/2010,STA 278 (25),inv. 12414 (25),Calcul de probabilités,Farouk Kria -,inv. 12414 (25),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12744,1503,1576557,'046200014023',11/29/2010,11/29/2010,STA 278 (1),inv. 12414 (1),Calcul de probabilités,Farouk Kria -,inv. 12414 (1),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12745,1503,1576566,'046200014024',11/29/2010,11/29/2010,STA 278 (28),inv. 12470 (3),Calcul de probabilités,Farouk Kria -,inv. 12470 (3),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12746,1503,1576587,'046200014025',11/29/2010,11/29/2010,STA 278 (7),inv. 12414 (7),Calcul de probabilités,Farouk Kria -,inv. 12414 (7),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12747,1503,1576574,'046200014026',11/29/2010,11/29/2010,STA 278 (13),inv. 12414 (13),Calcul de probabilités,Farouk Kria -,inv. 12414 (13),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12748,1503,1576618,'046200014027',11/29/2010,11/29/2010,STA 278 (21),inv. 12414 (21),Calcul de probabilités,Farouk Kria -,inv. 12414 (21),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12749,1503,1576602,'046200014028',11/29/2010,11/29/2010,STA 278 (20),inv. 12414 (20),Calcul de probabilités,Farouk Kria -,inv. 12414 (20),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12750,1503,1576646,'046200014029',11/29/2010,11/29/2010,STA 278 (9),inv. 12414 (9),Calcul de probabilités,Farouk Kria -,inv. 12414 (9),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12751,1503,1576628,'046200014030',11/29/2010,11/29/2010,STA 278 (26),inv. 12470 (1),Calcul de probabilités,Farouk Kria -,inv. 12470 (1),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12752,1503,1576677,'046200014031',11/29/2010,11/29/2010,STA 278 (4),inv. 12414 (4),Calcul de probabilités,Farouk Kria -,inv. 12414 (4),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12753,1503,1576660,'046200014032',11/29/2010,11/29/2010,STA 278 (2),inv. 12414 (2),Calcul de probabilités,Farouk Kria -,inv. 12414 (2),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12754,1503,1576710,'046200014033',11/29/2010,11/29/2010,STA 278 (50),inv. 14353 (4),Calcul de probabilités,Farouk Kria -,inv. 14353 (4),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12755,1503,1576693,'046200014034',11/29/2010,11/29/2010,STA 278 (34),inv. 12414 (9),Calcul de probabilités,Farouk Kria -,inv. 12414 (9),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12756,1520,1576748,'046200014035',11/29/2010,11/29/2010,STA 253 (3),inv. 11124 (3),Méthodes quantitatives 1,"Walder Masiéri,... -",inv. 11124 (3),2-248-03092-4,Monographie prêtable (50),297 p.,1990,Sirey,110 F
12757,118492,1576728,'046200014036',11/29/2010,11/29/2010,STA 276,inv. 12350,Initiation à la statistique et aux probabilités,"Marcel Bertaud,... Bernard Charles,...  -",inv. 12350,2760615057,Monographie prêtable (50),XXIV-333 p.,1989,Presses de l'Université de Montréal,-
12758,566012,1576836,'046200014037',11/29/2010,11/29/2010,STA 273,inv. 12347,Inference Statistique,- -,inv. 12347,2-7637-7087-8,Monographie prêtable (50),vii-232 p,1985,Presses de l'Universite Laval,-
12759,1503,1576820,'046200014038',11/29/2010,11/29/2010,STA 278 (10),-,Calcul de probabilités,Farouk Kria -,-,9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12760,908796,1576874,'046200014039',11/29/2010,11/29/2010,STA 269,inv. 11916,Séries chronologiques,"Jean-Jacques Droesbeke, Bernard Fichet, Philippe Tassi -",inv. 11916,2-7178-1549-X,Monographie prêtable (50),299p.,1989,Economica,-
12761,473089,1576855,'046200014040',11/29/2010,11/29/2010,STA 270,inv. 11869,Modèles pour l'analyse des données multidimensionnelles,"[4èmes Journées d'étude en statistique, 15 au 19 octobre 1990, Marseille-Luminy] [organisées par l'] Association pour la statistique et ses utilisations",inv. 11869,2-7178-2296-8,Monographie prêtable (50),363 p.,1992,Economica,250 F
12762,1560635,1576900,'046200014041',11/29/2010,11/29/2010,STA 268 (3),inv. 268 (3),Probabilités,"sous la dir. de Jean-Thierry Lapresté,... préf. de Jean-Marie Chauveau,...",inv. 268 (3),2-04-019625-0,Monographie prêtable (50),158 p.,1991,Dunod,100 F
12763,1560635,1576891,'046200014042',11/29/2010,11/29/2010,STA 268 (2),inv. 11775 (2),Probabilités,"sous la dir. de Jean-Thierry Lapresté,... préf. de Jean-Marie Chauveau,...",inv. 11775 (2),2-04-019625-0,Monographie prêtable (50),158 p.,1991,Dunod,100 F
12764,875022,1576974,'046200014043',11/29/2010,11/29/2010,STA 266(4),inv. 14695 (2),Méthodes probabilistes pour les équations de la physique,"Michel Cessenat, Guy Ledanois, Pierre-Louis Lions,... [et al.] dir. de Robert Dautray",inv. 14695 (2),2-7272-0149-4,Monographie prêtable (50),402 p.,1989,Eyrolles,-
12765,18916,1576951,'046200014044',11/29/2010,11/29/2010,STA 267,inv. 11498,Theorie des probabilités,R. Fortet -,inv. 11498,-,Monographie prêtable (50),140 p.,1974,Ed. Eyrolles,-
12766,9690,1577236,'046200014045',11/29/2010,11/29/2010,STA 286 (4),inv. 13590 (2),Précis de mathématiques,"par D. Degrave, C. Degrave -",inv. 13590 (2),2-85394-782-3,Monographie prêtable (50),319 p.,1995,Bréal,-
12767,9690,1577230,'046200014046',11/29/2010,11/29/2010,STA 286 (5),inv. 13944,Précis de mathématiques,"par D. Degrave, C. Degrave -",inv. 13944,2-85394-782-3,Monographie prêtable (50),319 p.,1995,Bréal,-
12768,563665,1577269,'046200014047',11/29/2010,11/29/2010,STA 285 (2),inv. 12532 (2),Econom�trie,- -,inv. 12532 (2),2-13-046017-8,Monographie prêtable (50),353 p.,1994,Presses universitaires de France,188 F
12769,9690,1577250,'046200014048',11/29/2010,11/29/2010,STA 286 (1),inv. 12543,Précis de mathématiques,"par D. Degrave, C. Degrave -",inv. 12543,2-85394-782-3,Monographie prêtable (50),319 p.,1995,Bréal,-
12770,74318,1577289,'046200014049',11/29/2010,11/29/2010,STA 284 (1),inv. 12531 (1),Théorie des jeux et analyse économique,"Gabrielle Demange,... Jean-Pierre Ponssard,... -",inv. 12531 (1),2-13-045973-0,Monographie prêtable (50),233 p.,1994,Presses universitaires de France,199 F
12771,74318,1577280,'046200014050',11/29/2010,11/29/2010,STA 284 (2),inv. 12531 (2),Théorie des jeux et analyse économique,"Gabrielle Demange,... Jean-Pierre Ponssard,... -",inv. 12531 (2),2-13-045973-0,Monographie prêtable (50),233 p.,1994,Presses universitaires de France,199 F
12772,10018,1577309,'046200014051',11/29/2010,11/29/2010,STA 283 (3),inv. 13011 (3),Traitements statistiques des enquêtes,"D. Grangé, L. Lebart préf. de Jacques Antoine",inv. 13011 (3),2-10-002008-0,Monographie prêtable (50),XVI-255 p.,1993,Dunod,-
12773,10018,1577293,'046200014052',11/29/2010,11/29/2010,STA 283 (1),inv. 12483 (1),Traitements statistiques des enquêtes,"D. Grangé, L. Lebart préf. de Jacques Antoine",inv. 12483 (1),2-10-002008-0,Monographie prêtable (50),XVI-255 p.,1993,Dunod,-
12774,9702,1577325,'046200014053',11/29/2010,11/29/2010,STA 282 (2),inv. 12508 (2),Méthodes statistiques en gestion,"Michel Tenenhaus,... -",inv. 12508 (2),2-10-001061-1,Monographie prêtable (50),IX-373 p.,1994,Dunod,195 F
12775,9702,1577315,'046200014054',11/29/2010,11/29/2010,STA 282 (1),inv. 12508 (1),Méthodes statistiques en gestion,"Michel Tenenhaus,... -",inv. 12508 (1),2-10-001061-1,Monographie prêtable (50),IX-373 p.,1994,Dunod,195 F
12776,115776,1577368,'046200014055',11/29/2010,11/29/2010,STA 280,inv. 12417,Applied econometrics time series,Walter Enders -,inv. 12417,-,Monographie prêtable (50),432p.,1995,John Wiley and sons,-
12777,870112,1577346,'046200014056',11/29/2010,11/29/2010,STA 281,inv. 12418,Games for business and economics / Roy Gardner.,- -,inv. 12418,471311502,Monographie prêtable (50),480 p. : ill. ; 24 cm.,-,-,-
12778,96082,1577415,'046200014057',11/29/2010,11/29/2010,STA 279 (2),inv. 12430 (2),Collecte et traitement,Jean Dubos -,inv. 12430 (2),-,Monographie prêtable (50),170 p.,1986,Cujas,-
12779,96082,1577403,'046200014058',11/29/2010,11/29/2010,STA 279 (1),inv. 12430 (1),Collecte et traitement,Jean Dubos -,inv. 12430 (1),-,Monographie prêtable (50),170 p.,1986,Cujas,-
12780,1503,1577461,'046200014059',11/29/2010,11/29/2010,STA 278 (11),inv. 12414 (11),Calcul de probabilités,Farouk Kria -,inv. 12414 (11),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12781,1503,1577446,'046200014060',11/29/2010,11/29/2010,STA 278 (19),inv. 12414 (19),Calcul de probabilités,Farouk Kria -,inv. 12414 (19),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12782,1503,1577486,'046200014061',11/29/2010,11/29/2010,STA 278 (3),inv. 12414 (3),Calcul de probabilités,Farouk Kria -,inv. 12414 (3),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12783,1503,1577473,'046200014062',11/29/2010,11/29/2010,STA 278 (24),inv. 12414 (24),Calcul de probabilités,Farouk Kria -,inv. 12414 (24),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12784,1503,1577507,'046200014063',11/29/2010,11/29/2010,STA 278 (43),inv. 12470 (18),Calcul de probabilités,Farouk Kria -,inv. 12470 (18),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12785,1503,1577495,'046200014064',11/29/2010,11/29/2010,STA 278 (22),inv. 12414 (22),Calcul de probabilités,Farouk Kria -,inv. 12414 (22),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12786,1503,1577522,'046200014065',11/29/2010,11/29/2010,STA 278 (30),inv. 12470 (5),Calcul de probabilités,Farouk Kria -,inv. 12470 (5),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12787,1503,1577513,'046200014066',11/29/2010,11/29/2010,STA 278 (23),inv. 12414 (23),Calcul de probabilités,Farouk Kria -,inv. 12414 (23),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12788,1503,1577550,'046200014067',11/29/2010,11/29/2010,STA 278 (16),inv. 12414 (16),Calcul de probabilités,Farouk Kria -,inv. 12414 (16),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12789,1503,1577539,'046200014068',11/29/2010,11/29/2010,STA 278 (33),inv. 12470 (8),Calcul de probabilités,Farouk Kria -,inv. 12470 (8),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12790,1503,1577575,'046200014069',11/29/2010,11/29/2010,STA 278 (32),inv. 12470 (7),Calcul de probabilités,Farouk Kria -,inv. 12470 (7),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12791,1503,1577568,'046200014070',11/29/2010,11/29/2010,STA 278 (16),-,Calcul de probabilités,Farouk Kria -,-,9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12792,1503,1577602,'046200014071',11/29/2010,11/29/2010,STA 278 (46),inv. 13824,Calcul de probabilités,Farouk Kria -,inv. 13824,9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12793,1503,1577590,'046200014072',11/29/2010,11/29/2010,STA 278 (36),-,Calcul de probabilités,Farouk Kria -,-,9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12794,1503,1577627,'046200014073',11/29/2010,11/29/2010,STA 278 (51),inv. 14353 (5),Calcul de probabilités,Farouk Kria -,inv. 14353 (5),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12795,1503,1577616,'046200014074',11/29/2010,11/29/2010,STA 278 (6),inv. 12414 (6),Calcul de probabilités,Farouk Kria -,inv. 12414 (6),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12796,1503,1577653,'046200014075',11/29/2010,11/29/2010,STA 278 (45),-,Calcul de probabilités,Farouk Kria -,-,9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12797,1503,1577635,'046200014076',11/29/2010,11/29/2010,STA 278 (8),-,Calcul de probabilités,Farouk Kria -,-,9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12798,1503,1577684,'046200014077',11/29/2010,11/29/2010,STA 278 (12),inv. 12414 (12),Calcul de probabilités,Farouk Kria -,inv. 12414 (12),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12799,1503,1577674,'046200014078',11/29/2010,11/29/2010,STA 278 (37),inv. 12470 (12),Calcul de probabilités,Farouk Kria -,inv. 12470 (12),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12800,719389,1577893,'046200014079',11/29/2010,11/29/2010,STA 295 (1),inv. 12775,Initiation aux probabilit�s,Sheldon M. Ross trad. [de la 4e �d. am�ricaine rev. et augm.] par Christian Hofer et Fr�d�ric Dorsaz,inv. 12775,2-88074-327-3,Monographie prêtable (50),XI-458 p.,2002,Presses polytechniques et universitaires romandes,"49,70 EUR"
12801,1503,1577694,'046200014080',11/29/2010,11/29/2010,STA 278 (35),inv. 12470 (10),Calcul de probabilités,Farouk Kria -,inv. 12470 (10),9973937155,Monographie prêtable (50),327 p.,1995,CERP,-
12802,1504,1577917,'046200014081',11/29/2010,11/29/2010,STA 294,inv. 12681,Analyse chronologique,"Louis Phlips, Roland Blomme, Carine Vanden Berghe, Eric Dor -",inv. 12681,2-8041-1015-X,Monographie prêtable (50),406 p.,1987,De Boeck Université,100 F
12803,719389,1577900,'046200014082',11/29/2010,11/29/2010,STA 295 (2),inv. 14216,Initiation aux probabilit�s,Sheldon M. Ross trad. [de la 4e �d. am�ricaine rev. et augm.] par Christian Hofer et Fr�d�ric Dorsaz,inv. 14216,2-88074-327-3,Monographie prêtable (50),XI-458 p.,2002,Presses polytechniques et universitaires romandes,"49,70 EUR"
12804,722486,1577939,'046200014083',11/29/2010,11/29/2010,STA 292 (2),inv. 12657 (2),Probabilités,Rene Sandretto -,inv. 12657 (2),2-10-001456-0,Monographie prêtable (50),IX-219 p.,1992,Dunod,-
12805,875034,1577929,'046200014084',11/29/2010,11/29/2010,STA 291 (2),inv. 12567 (2),M�odes quantitatives,"Jean-Claude Bonneville,... Georges Rapin,... -",inv. 12567 (2),2-10-002947-9,Monographie prêtable (50),Pagination multiple [ca 232] p.,1996,Dunod,109 F
12806,9870,1578106,'046200014085',11/29/2010,11/29/2010,STA 291 (3),inv. 12971,Méthodes quantitatives,"Jean-Claude Bonneville, Georges Rapin -",inv. 12971,2-10-003234-8,Monographie prêtable (50),Pagination multiple [ca 171] p.,1997,Dunod,98 F
12807,875034,1577956,'046200014086',11/29/2010,11/29/2010,STA 291 (1),inv. 12567 (1),M�odes quantitatives,"Jean-Claude Bonneville,... Georges Rapin,... -",inv. 12567 (1),2-10-002947-9,Monographie prêtable (50),Pagination multiple [ca 232] p.,1996,Dunod,109 F
12808,474871,1578372,'046200014087',11/29/2010,11/29/2010,STA 290 (11),inv. 14692 (10),Statistique descriptive,Bernard Py -,inv. 14692 (10),2-7178-3046-4,Monographie prêtable (50),353 p.,1996,Economica,-
12809,694672,1578198,'046200014088',11/29/2010,11/29/2010,STA 290 (12),inv. 16776,Statistique descriptive,Bernard Py -,inv. 16776,978-2-7178-5389-6,Monographie prêtable (50),553 p.,DL 2007,Economica,29 EUR
12810,474871,1578399,'046200014089',11/29/2010,11/29/2010,STA 290 (10),inv. 14692 (9),Statistique descriptive,Bernard Py -,inv. 14692 (9),2-7178-3046-4,Monographie prêtable (50),353 p.,1996,Economica,-
12811,474871,1578384,'046200014090',11/29/2010,11/29/2010,STA 290 (3),inv. 14692 (2),Statistique descriptive,Bernard Py -,inv. 14692 (2),2-7178-3046-4,Monographie prêtable (50),353 p.,1996,Economica,-
12812,9867,1578460,'046200014091',11/29/2010,11/29/2010,STA 290,inv. 12562,Statistique descriptive,"Bernard Py,... -",inv. 12562,2-7178-1812-X,Monographie prêtable (50),341 p.,1990,Economica,125 F
12813,474871,1578433,'046200014092',11/29/2010,11/29/2010,STA 290 (9),inv. 14692 (8),Statistique descriptive,Bernard Py -,inv. 14692 (8),2-7178-3046-4,Monographie prêtable (50),353 p.,1996,Economica,-
12814,474871,1578676,'046200014093',11/29/2010,11/29/2010,STA 290 (7),inv. 14692 (6),Statistique descriptive,Bernard Py -,inv. 14692 (6),2-7178-3046-4,Monographie prêtable (50),353 p.,1996,Economica,-
12815,474871,1578693,'046200014094',11/29/2010,11/29/2010,STA 290 (6),inv. 14692 (5),Statistique descriptive,Bernard Py -,inv. 14692 (5),2-7178-3046-4,Monographie prêtable (50),353 p.,1996,Economica,-
12816,474871,1578713,'046200014095',11/29/2010,11/29/2010,STA 290 (5),inv. 14692 (4),Statistique descriptive,Bernard Py -,inv. 14692 (4),2-7178-3046-4,Monographie prêtable (50),353 p.,1996,Economica,-
12817,474871,1578707,'046200014096',11/29/2010,11/29/2010,STA 290 (2),inv. 14692 (1),Statistique descriptive,Bernard Py -,inv. 14692 (1),2-7178-3046-4,Monographie prêtable (50),353 p.,1996,Economica,-
12818,57328,1578734,'046200014097',11/29/2010,11/29/2010,STA 289 (3),inv. 12566 (3),Statistiques,"sous la dir. de Georges Pupion,... -",inv. 12566 (3),2-10-002462-0,Monographie prêtable (50),XII-195 p.,1994,Dunod,-
12819,57328,1578725,'046200014098',11/29/2010,11/29/2010,STA 289 (1),inv. 12566 (1),Statistiques,"sous la dir. de Georges Pupion,... -",inv. 12566 (1),2-10-002462-0,Monographie prêtable (50),XII-195 p.,1994,Dunod,-
12820,57039,1578774,'046200014099',11/29/2010,11/29/2010,STA 287 (1),inv. 12564 (1),Statistique descriptive techniques statiques.1,Bernard Grais -,inv. 12564 (1),2-10-002238-5,Monographie prêtable (50),280 p.,1994,Dunod,-
12821,57328,1578745,'046200014100',11/29/2010,11/29/2010,STA 289 (2),inv. 12566 (2),Statistiques,"sous la dir. de Georges Pupion,... -",inv. 12566 (2),2-10-002462-0,Monographie prêtable (50),XII-195 p.,1994,Dunod,-
12822,870113,1579027,'046200014101',11/29/2010,11/29/2010,STA 308,inv. 12832,Making decisions [Texte imprimé] / D. V. Lindley. - 2nd ed.,- -,inv. 12832,0-471-90808-8,Monographie prêtable (50),207 p : couv. ill ; 23 cm,-,-,-
12823,57039,1578780,'046200014102',11/29/2010,11/29/2010,STA 287 (2),inv. 12564 (2),Statistique descriptive techniques statiques.1,Bernard Grais -,inv. 12564 (2),2-10-002238-5,Monographie prêtable (50),280 p.,1994,Dunod,-
12824,94575,1579051,'046200014103',11/29/2010,11/29/2010,STA 305,inv. 12827,Time series and dynamic models,"Christian Gourieroux, Alain Monfort trad. par Giampiero Gallo",inv. 12827,0521-423082,Monographie prêtable (50),668 p.,1990,Cambridge University Press,-
12825,355647,1579042,'046200014104',11/29/2010,11/29/2010,STA 307,inv. 12831,Experimental designs,"William G. Cochran, Gertrude M. Cox -",inv. 12831,471545678,Monographie prêtable (50),611 p.,1957,J.Wiley & Sons,-
12826,1556313,1579057,'046200014105',11/29/2010,11/29/2010,STA 306,inv. 12803,Régression non linéaire et applications,"Anestis Antoniadis, Jacques Berruyer, René Carmona -",inv. 12803,2717823441,Monographie prêtable (50),XIII-248 p.,1992,Economica,-
12827,359079,1579068,'046200014106',11/29/2010,11/29/2010,STA 304,inv. 12819,Statistical concepts and methods,"Gouri K. Bhattacharyya, Richard A. Johnson -",inv. 12819,471072044,Monographie prêtable (50),639 p.,1977,j.Wiley & Sons,-
12828,1545003,1579240,'046200014107',11/29/2010,11/29/2010,STA 302 (2),inv. 12817 (2),An introduction to probability theory and its applications,William Feller -,inv. 12817 (2),978-0-471-25708-7,Monographie prêtable (50),509 p.,1968,J. Wiley,-
12829,1545003,1579196,'046200014108',11/29/2010,11/29/2010,STA 302 (1),inv. 12817 (1),An introduction to probability theory and its applications,William Feller -,inv. 12817 (1),978-0-471-25708-7,Monographie prêtable (50),509 p.,1968,J. Wiley,-
12830,1498,1579264,'046200014109',11/29/2010,11/29/2010,STA 298 (1),inv. 12805 (1),Statistique descriptive,"Jean-David Avenel, Elie Azoulay -",inv. 12805 (1),2-84074-117-2,Monographie prêtable (50),X-173 p.,1995,Ediscience international,98 F
12831,10444,1579248,'046200014110',11/29/2010,11/29/2010,STA 301,inv. 12813,Probabilités de l'ingénieur,Nicolas Bouleau préf. Alain Bensoussan,inv. 12813,2-7056-1418-4,Monographie prêtable (50),387 p.,1986,Hermann,-
12832,9713,1579287,'046200014111',11/29/2010,11/29/2010,STA 257 (A),inv. 11778,Techniques statistiques,"Bernard Grais,... -",inv. 11778,2-04-018739-1,Monographie prêtable (50),XII-280 p.,1988,Dunod,96 F
12833,687944,1579277,'046200014112',11/29/2010,11/29/2010,STA 300,inv. 12810,Probabilités et applications,"Bernard Bercu, Patrick Pamphile participation d'Elie Azoulay",inv. 12810,2-84074-131-8,Monographie prêtable (50),250 p.,1996,Ediscience international,-
12834,246275,1579325,'046200014113',11/29/2010,11/29/2010,STA 264 (2),inv. 11408 (2),Statistique,- -,inv. 11408 (2),2-7178-0685-7,Monographie prêtable (50),322 p,1983,Economica,85 F
12835,57440,1579309,'046200014114',11/29/2010,11/29/2010,STA 298 (3),inv. 14783,Statistique descriptive,"Jean-David Avenel, Élie Azoulay -",inv. 14783,2-84074-162-8,Monographie prêtable (50),VIII-198 p.,1999,Ediscience international,-
12836,10831,1579356,'046200014115',11/29/2010,11/29/2010,STA 309 (13),inv. 12977 (13),Statistique mathématique,Mohamed Moncef -,inv. 12977 (13),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
12837,9770,1579334,'046200014116',11/29/2010,11/29/2010,STA 297,inv. 12795,Statistique descriptive et lois de probabilité,"par Claude Mouchot,... -",inv. 12795,-,Monographie prêtable (50),149 p.,1983,Economica,-
12838,10831,1579395,'046200014117',11/29/2010,11/29/2010,STA 309 (10),inv. 12977 (10),Statistique mathématique,Mohamed Moncef -,inv. 12977 (10),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
12839,10831,1579381,'046200014118',11/29/2010,11/29/2010,STA 309 (1),inv. 12977 (1),Statistique mathématique,Mohamed Moncef -,inv. 12977 (1),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
12840,10831,1579406,'046200014119',11/29/2010,11/29/2010,STA 309 (45),inv. 12470 (20),Statistique mathématique,Mohamed Moncef -,inv. 12470 (20),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
12841,10831,1579401,'046200014120',11/29/2010,11/29/2010,STA 309 (3),inv. 12977 (3),Statistique mathématique,Mohamed Moncef -,inv. 12977 (3),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
12842,10831,1579433,'046200014121',11/29/2010,11/29/2010,STA 309 (11),inv. 12977 (11),Statistique mathématique,Mohamed Moncef -,inv. 12977 (11),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
12843,10831,1579422,'046200014122',11/29/2010,11/29/2010,STA 309 (2),inv. 12977 (2),Statistique mathématique,Mohamed Moncef -,inv. 12977 (2),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
12844,10831,1579475,'046200014123',11/29/2010,11/29/2010,STA 309 (4),inv. 12977 (4),Statistique mathématique,Mohamed Moncef -,inv. 12977 (4),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
12845,10831,1579443,'046200014124',11/29/2010,11/29/2010,STA 309 (17),inv. 14354 (3),Statistique mathématique,Mohamed Moncef -,inv. 14354 (3),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
12846,10831,1579546,'046200014125',11/29/2010,11/29/2010,STA 309 (6),inv. 12977 (6),Statistique mathématique,Mohamed Moncef -,inv. 12977 (6),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
12847,10831,1579491,'046200014126',11/29/2010,11/29/2010,STA 309 (14),inv. 12977 (14),Statistique mathématique,Mohamed Moncef -,inv. 12977 (14),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
12848,10831,1579607,'046200014127',11/29/2010,11/29/2010,STA 309 (16),inv. 14354 (2),Statistique mathématique,Mohamed Moncef -,inv. 14354 (2),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
12849,10831,1579597,'046200014128',11/29/2010,11/29/2010,STA 309 (20),inv. 14354 (6),Statistique mathématique,Mohamed Moncef -,inv. 14354 (6),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
12850,10831,1579665,'046200014129',11/29/2010,11/29/2010,STA 309 (5),inv. 12977 (5),Statistique mathématique,Mohamed Moncef -,inv. 12977 (5),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
12851,10831,1579646,'046200014130',11/29/2010,11/29/2010,STA 309 (19),inv. 14354 (5),Statistique mathématique,Mohamed Moncef -,inv. 14354 (5),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
12852,350760,1580127,'046200014131',11/29/2010,11/29/2010,STA 310,inv. 13217,Statistique et probabilités,- -,inv. 13217,2-10-003212-7,Monographie prêtable (50),229 p.,1996,Dunod,120 F
12853,10831,1579680,'046200014132',11/29/2010,11/29/2010,STA 309 (12),inv. 12977 (12),Statistique mathématique,Mohamed Moncef -,inv. 12977 (12),-,Monographie prêtable (50),227 p.,1997,Centre de Publication Universitaire,-
